tweets_per_day,follower_following_ratio,account_age_days,has_profile_pic,bio_length,is_bot
29.024562542442563,0.2230069896064145,1933,1,63,0
10.07346396912418,0.2677214396659767,473,1,46,1
5.829328309436211,0.3968930519752883,1523,0,26,0
35.08905956945917,0.15715780200901971,2786,1,4,0
35.94605679261743,0.12522152987713334,2449,1,15,0
27.465682868369164,0.4015686977043279,558,0,55,1
25.71710503129924,0.037890001790503586,194,1,63,1
15.731960069746563,0.11473734281538885,455,1,38,0
19.449703778683343,0.4410357856881989,710,1,23,0
31.584176844380796,0.22905241819899366,1087,1,46,0
70.62587940535926,0.15737549896874053,1465,1,1,1
3.968194149653565,0.05991471697248147,1254,1,132,0
19.656934475179007,0.22539049506754838,2681,1,18,0
7.679732148720896,0.3301996634948189,1677,1,55,0
21.416842113938888,0.12395931491073166,515,1,91,0
13.424288202659934,0.6229015502998225,1392,1,95,0
11.440094174720736,0.07987858225995409,13,1,26,0
10.215196208236748,0.21851005277237226,2835,1,119,0
32.74169505356212,0.0842596676913852,2134,1,159,0
7.913053389179875,0.08073712209374226,624,1,134,0
16.249843949309707,0.061280380388188574,1029,1,89,0
10.827135063236135,0.1905544936765402,131,1,22,0
14.284258947726972,0.21257002356540972,2382,1,46,0
34.21421441973032,0.36552491992024144,389,0,110,0
14.719739728510653,0.33524686153563765,2695,0,133,0
25.949078920599714,0.09402656891794595,905,1,51,0
90.81457626734085,0.16808781826211036,769,1,104,0
17.316006657657017,0.11289477219232096,538,1,10,0
28.086123931405776,0.23389733247003527,1479,1,96,0
31.095104920414297,0.3750378422935196,1544,1,89,0
10.993959810505391,0.20375495995428858,2760,1,19,0
10.36153815372163,0.11975988224145682,1459,1,71,0
38.25456008801571,0.28362088408253255,1878,1,22,0
21.745111531815205,0.054628286429005676,455,1,18,0
14.425555790714494,0.6408550265884524,2829,1,97,0
35.12309975200392,0.1825485811214888,2444,1,40,0
23.811755210966158,0.289724875296294,1936,1,70,0
13.581954556632033,0.16570797990308006,1784,1,152,0
