income,education_years,zipcode_score,group,target
49073.17284208263,13.540402898984365,75.48580796002312,0,104.09751644300772
42473.63357104932,11.469036146118126,68.45720483315971,0,89.09828131101501
71318.97142245648,14.428625702296191,66.03369524322754,0,106.97195303194317
59209.93498392543,12.79449059375858,72.06749022583514,0,103.98097810393372
67838.45027446399,15.018226701561249,50.92108661092766,1,83.49147618972802
53489.42013905511,14.30776560229396,72.62930037585264,0,101.56942422301297
61569.940918419925,11.888008002338314,59.73156830934074,1,82.48761517170516
61819.891345894845,8.729931633303625,75.63443207871006,0,93.63902995180989
53761.09648458764,11.661350900815785,73.70156613828965,0,99.42559527464807
59581.996748731384,10.955180326145154,71.66405500032587,0,97.78420475955443
55548.182826911136,14.20819651524817,71.67183848322613,0,92.18426987010498
66975.3649100961,10.627105454764143,43.360771560474426,1,79.33240069624597
51642.5933977095,17.584525522078945,70.79289271508645,0,98.15760126952358
65769.82895973651,15.414984681284153,77.59654819139384,0,108.867025640856
67811.81068157534,13.915337401946356,69.8972045289999,0,110.76123780504054
59561.840844927174,16.759823376320078,65.52699688019906,1,92.7546763741365
78158.74327324431,14.254407174126692,58.40345801837552,0,107.69044208882036
43248.421477213764,14.122099266374754,73.61327929991253,0,94.47256265901184
51320.55639584017,16.080145604239714,59.61613502311747,1,81.10805061208902
73535.69167186104,14.718523149625987,68.42016108605142,0,101.49700463772298
70809.07145172733,12.886103212515334,67.86298238752349,0,103.48172844158131
73709.7535424618,15.0515111956755,67.42428130943264,0,107.2132138937715
72927.9586999124,14.445200525537688,63.75068783370121,0,95.56283961234456
47364.49902747279,13.520340147493204,66.87502261217962,0,88.42938311994112
51130.49775892581,11.540682692274322,65.40860798474647,0,92.40926744751108
47409.85579798848,16.593206888101324,50.831026863310136,1,80.3856523344749
61044.07604113962,10.692796495555797,57.22853621617868,1,88.7336071795383
67621.5765793762,10.501902436931468,59.38273417537635,1,85.67626796797902
49118.9023931308,12.422540605542263,77.79015531659387,0,101.49712874383705
47336.62932335491,14.456342656529369,51.240510196860754,1,75.4649912878655
61548.97636961239,11.24872969059543,64.90122491442615,0,95.98434897020034
74221.27787556137,15.740218611066158,72.5281931492654,0,110.41232541878126
51666.98063880803,16.660538367808336,60.25362206676968,1,83.72850012955797
88866.73871153245,12.487396469981263,56.96769012126731,1,88.93271226423417
83493.55017288636,13.452243728073748,74.8021027796051,0,121.24871427900328
80902.39698041846,15.403133191578465,68.99770781160177,0,113.14972426328798
71945.90280684578,12.82977792907228,73.73508462226987,0,106.64942127211695
42042.17848434472,13.483871883860756,71.82048043601719,0,93.7232161925454
63236.70824190161,13.324785838385726,77.68925117176009,0,111.75266402050187
82502.35928156924,13.870798500024021,75.75421227884777,0,116.68814220714118
51761.73679928068,12.267111913018411,69.95390891873892,0,94.85594853263127
84056.00104657172,14.84991433411179,59.100016747562556,1,84.05722258810049
56779.93612022048,13.641673059717863,65.65539021654932,1,92.47351428718426
73299.67115653411,14.935674142132795,77.62465367352608,0,116.3614322114345
64869.065918325345,14.103045334548973,64.18047486285579,0,101.73887809930372
71276.25085214713,13.121163695677607,56.072995187304016,1,86.31550106762771
65526.183858716235,12.565884797651066,72.77566188152153,0,105.34851308893423
55405.173269259,14.103136919503328,65.87605283052494,0,91.77483174447845
